name,category,cat_code,l,w,h,weight,score
Clothes,Common,0,32,37,48,25,1.9736
Glass Vase,Fragile,1,20,14,10,8,0.0
Wine Bottles,Fragile,1,55,30,28,3,0.0
Laboratory Beaker,Fragile,1,21,27,50,12,0.0
Plastic Toys,Common,0,41,47,24,6,1.1308
TV Screen,Fragile,1,13,36,35,5,0.0
Tools,Common,0,41,37,34,18,1.6867999999999999
Anvil,Heavy Load,2,49,54,18,46,8.8184
Canned Food,Common,0,20,37,34,11,0.9560000000000001
Industrial Motor,Heavy Load,2,30,43,37,35,7.616
Plastic Toys,Common,0,29,54,40,12,1.3463999999999998
Safe Box,Heavy Load,2,30,31,31,31,7.231999999999999
Wine Bottles,Fragile,1,46,22,47,2,0.0
Anvil,Heavy Load,2,29,14,25,53,8.342400000000001
Car Engine,Heavy Load,2,59,20,34,36,7.632
Safe Box,Heavy Load,2,51,18,15,45,8.0672
Generator,Heavy Load,2,18,47,31,65,9.2384
Books,Common,0,48,21,38,25,1.9032
TV Screen,Fragile,1,41,12,34,1,0.0
Cushions,Common,0,58,59,33,29,3.1088
Safe Box,Heavy Load,2,20,49,26,55,8.692
Car Engine,Heavy Load,2,49,16,56,42,7.8336
Shoes,Common,0,37,36,33,9,1.0728
Wine Bottles,Fragile,1,28,23,15,8,0.0
Mirror,Fragile,1,43,51,56,7,0.0
Mirror,Fragile,1,37,34,50,2,0.0
Wine Bottles,Fragile,1,49,41,15,9,0.0
Safe Box,Heavy Load,2,14,54,34,49,8.2424
Car Engine,Heavy Load,2,53,46,14,47,8.7952
Monitor,Fragile,1,41,56,27,4,0.0
Steel Beam,Heavy Load,2,43,14,16,40,7.6408000000000005
Ceramic Plates,Fragile,1,18,42,42,13,0.0
Tools,Common,0,25,32,11,12,1.0399999999999998
Laboratory Beaker,Fragile,1,43,21,36,5,0.0
Tools,Common,0,32,34,42,4,0.6752
Paper Ream,Common,0,12,30,17,4,0.384
Laboratory Beaker,Fragile,1,41,45,36,11,0.0
Generator,Heavy Load,2,44,20,49,44,7.992
Mirror,Fragile,1,55,53,15,4,0.0
Concrete Block,Heavy Load,2,41,27,34,59,8.982800000000001
Generator,Heavy Load,2,38,22,43,38,7.614400000000001
TV Screen,Fragile,1,53,46,44,1,0.0
Laboratory Beaker,Fragile,1,12,26,35,2,0.0
Laboratory Beaker,Fragile,1,39,53,15,7,0.0
Generator,Heavy Load,2,27,53,50,65,9.4724
Safe Box,Heavy Load,2,48,22,13,35,7.5224
Monitor,Fragile,1,29,17,30,6,0.0
Mirror,Fragile,1,22,12,15,13,0.0
Industrial Motor,Heavy Load,2,12,46,18,37,7.4408
Cushions,Common,0,51,48,17,26,2.5392
Mirror,Fragile,1,42,14,41,2,0.0
Monitor,Fragile,1,14,39,16,14,0.0
Antique Lamp,Fragile,1,46,30,39,2,0.0
Steel Beam,Heavy Load,2,18,51,33,76,9.9272
Books,Common,0,46,35,20,12,1.364
Industrial Motor,Heavy Load,2,43,42,19,62,9.4424
Clothes,Common,0,51,10,34,28,1.884
Shoes,Common,0,10,39,23,15,1.056
Wine Bottles,Fragile,1,59,48,56,7,0.0
Generator,Heavy Load,2,57,27,31,43,8.1956
Cushions,Common,0,38,48,27,27,2.3495999999999997
Laboratory Beaker,Fragile,1,40,12,52,13,0.0
Car Engine,Heavy Load,2,53,43,58,75,10.0
Anvil,Heavy Load,2,33,42,18,40,7.9544
Industrial Motor,Heavy Load,2,39,34,45,52,8.6504
Plastic Toys,Common,0,25,47,47,20,1.67
Canned Food,Common,0,17,28,12,24,1.6303999999999998
Laboratory Beaker,Fragile,1,13,54,13,9,0.0
Canned Food,Common,0,33,58,44,13,1.5455999999999999
Monitor,Fragile,1,16,29,30,6,0.0
Mirror,Fragile,1,14,46,50,7,0.0
Monitor,Fragile,1,21,32,39,7,0.0
TV Screen,Fragile,1,46,55,18,14,0.0
Anvil,Heavy Load,2,29,58,34,72,9.992799999999999
Car Engine,Heavy Load,2,32,55,16,37,7.924000000000001
Laboratory Beaker,Fragile,1,11,52,50,3,0.0
Paper Ream,Common,0,10,41,52,27,1.784
Shoes,Common,0,11,34,17,23,1.5295999999999998
Mirror,Fragile,1,44,12,11,7,0.0
Plastic Toys,Common,0,58,12,18,25,1.7784
Mirror,Fragile,1,12,43,58,9,0.0
Wine Bottles,Fragile,1,45,59,50,4,0.0
Industrial Motor,Heavy Load,2,55,10,27,45,7.92
Glass Vase,Fragile,1,58,37,54,6,0.0
Tools,Common,0,34,25,50,8,0.82
Antique Lamp,Fragile,1,52,54,23,14,0.0
Plastic Toys,Common,0,23,28,28,21,1.5176
Canned Food,Common,0,12,16,59,4,0.3168
Books,Common,0,38,59,48,7,1.3168000000000002
Safe Box,Heavy Load,2,35,27,25,57,8.797999999999998
Clothes,Common,0,25,17,58,25,1.67
Shoes,Common,0,33,48,59,4,0.8736
Gym Weights,Heavy Load,2,39,43,20,54,8.9108
Generator,Heavy Load,2,32,48,31,76,10.0
Canned Food,Common,0,58,18,39,23,1.7975999999999999
Shoes,Common,0,45,42,47,13,1.536
Gym Weights,Heavy Load,2,59,36,45,35,7.949600000000001
Shoes,Common,0,49,43,10,4,1.0828000000000002
Books,Common,0,40,54,44,3,1.044
Glass Vase,Fragile,1,29,31,26,3,0.0
Anvil,Heavy Load,2,40,56,22,69,10.0
Clothes,Common,0,35,26,27,8,0.844
Glass Vase,Fragile,1,21,58,18,9,0.0
Canned Food,Common,0,40,35,56,25,2.06
TV Screen,Fragile,1,37,30,27,12,0.0
Car Engine,Heavy Load,2,34,11,32,53,8.3296
Generator,Heavy Load,2,20,26,43,70,9.408
Industrial Motor,Heavy Load,2,55,58,12,67,10.0
Cushions,Common,0,33,15,26,22,1.518
Monitor,Fragile,1,12,53,34,2,0.0
Industrial Motor,Heavy Load,2,48,29,10,42,8.0768
Plastic Toys,Common,0,44,41,23,18,1.8015999999999999
TV Screen,Fragile,1,44,32,10,5,0.0
Anvil,Heavy Load,2,29,23,28,31,7.1268
Plastic Toys,Common,0,10,42,54,8,0.648
Monitor,Fragile,1,31,30,32,4,0.0
Gym Weights,Heavy Load,2,35,45,49,55,8.93
Generator,Heavy Load,2,14,54,26,79,10.0
Generator,Heavy Load,2,51,26,44,55,8.830400000000001
Safe Box,Heavy Load,2,20,42,58,61,8.996
Wine Bottles,Fragile,1,58,56,19,14,0.0
Mirror,Fragile,1,31,13,36,3,0.0
Antique Lamp,Fragile,1,56,35,48,7,0.0
Mirror,Fragile,1,24,20,50,1,0.0
Laboratory Beaker,Fragile,1,41,16,25,14,0.0
Paper Ream,Common,0,48,20,29,3,0.564
Shoes,Common,0,32,55,31,19,1.844
Tools,Common,0,49,40,46,16,1.7440000000000002
Anvil,Heavy Load,2,48,50,53,38,8.24
Anvil,Heavy Load,2,27,22,14,54,8.477599999999999
Books,Common,0,35,25,11,9,0.8899999999999999
Plastic Toys,Common,0,54,26,31,11,1.2216
Concrete Block,Heavy Load,2,12,11,52,36,7.2128
Clothes,Common,0,28,38,39,23,1.8055999999999996
Clothes,Common,0,45,27,52,8,0.966
Gym Weights,Heavy Load,2,33,38,49,74,9.9416
Glass Vase,Fragile,1,16,48,37,1,0.0
Books,Common,0,58,25,29,24,2.02
Plastic Toys,Common,0,50,17,52,25,1.8399999999999999
Generator,Heavy Load,2,35,39,28,66,9.506
Anvil,Heavy Load,2,13,15,26,48,7.958
Car Engine,Heavy Load,2,43,33,38,79,10.0
Steel Beam,Heavy Load,2,16,43,28,69,9.4152
Canned Food,Common,0,26,55,51,7,0.9920000000000002
Paper Ream,Common,0,25,14,25,15,1.04
Car Engine,Heavy Load,2,17,20,26,64,8.975999999999999
Antique Lamp,Fragile,1,39,27,25,1,0.0
Concrete Block,Heavy Load,2,10,55,55,72,9.540000000000001
Anvil,Heavy Load,2,10,43,46,39,7.5120000000000005
Steel Beam,Heavy Load,2,41,29,25,32,7.3956
Industrial Motor,Heavy Load,2,41,30,19,42,8.012
Steel Beam,Heavy Load,2,25,49,19,31,7.35
Industrial Motor,Heavy Load,2,32,31,16,78,10.0
Shoes,Common,0,34,41,15,26,2.1176000000000004
Shoes,Common,0,41,33,30,12,1.2611999999999999
Ceramic Plates,Fragile,1,40,48,26,8,0.0
TV Screen,Fragile,1,23,11,26,12,0.0
Clothes,Common,0,35,59,49,5,1.126
Cushions,Common,0,12,23,43,6,0.4704
Paper Ream,Common,0,32,44,32,13,1.3432
Shoes,Common,0,40,36,11,19,1.716
Canned Food,Common,0,51,49,32,9,1.5396
Steel Beam,Heavy Load,2,34,55,34,74,10.0
Generator,Heavy Load,2,10,18,15,64,8.912
Safe Box,Heavy Load,2,39,45,57,40,8.102
Safe Box,Heavy Load,2,36,29,44,30,7.2176
Laboratory Beaker,Fragile,1,16,41,20,3,0.0
Tools,Common,0,37,54,53,26,2.3592
TV Screen,Fragile,1,39,15,33,14,0.0
Ceramic Plates,Fragile,1,26,11,45,8,0.0
Plastic Toys,Common,0,39,24,23,24,1.8143999999999998
Tools,Common,0,52,17,28,20,1.5535999999999999
Monitor,Fragile,1,30,21,36,2,0.0
Laboratory Beaker,Fragile,1,28,14,46,8,0.0
Tools,Common,0,25,43,15,24,1.8699999999999999
Ceramic Plates,Fragile,1,27,49,53,12,0.0
Ceramic Plates,Fragile,1,54,54,53,14,0.0
Industrial Motor,Heavy Load,2,58,32,43,48,8.622399999999999
Ceramic Plates,Fragile,1,56,39,58,14,0.0
Mirror,Fragile,1,25,39,58,7,0.0
Anvil,Heavy Load,2,20,45,53,33,7.340000000000001
Safe Box,Heavy Load,2,18,34,48,32,7.1648
Gym Weights,Heavy Load,2,48,35,19,72,9.991999999999999
Anvil,Heavy Load,2,24,12,18,56,8.475200000000001
Safe Box,Heavy Load,2,28,59,13,64,9.5008
Anvil,Heavy Load,2,10,40,34,65,9.059999999999999
Ceramic Plates,Fragile,1,59,12,41,14,0.0
Antique Lamp,Fragile,1,14,10,18,6,0.0
Glass Vase,Fragile,1,38,14,45,5,0.0
Steel Beam,Heavy Load,2,57,47,10,64,9.9116
Steel Beam,Heavy Load,2,38,34,46,69,9.6568
Monitor,Fragile,1,33,33,53,10,0.0
Car Engine,Heavy Load,2,57,17,37,44,8.0276
Mirror,Fragile,1,48,11,37,7,0.0
Safe Box,Heavy Load,2,49,30,32,47,8.408
Steel Beam,Heavy Load,2,19,46,18,55,8.649600000000001
Gym Weights,Heavy Load,2,41,41,13,54,8.9124
Paper Ream,Common,0,15,29,12,9,0.714
Steel Beam,Heavy Load,2,44,28,30,49,8.4328
Safe Box,Heavy Load,2,32,14,49,73,9.5592
Generator,Heavy Load,2,49,12,54,38,7.5152
Clothes,Common,0,50,47,27,28,2.62
TV Screen,Fragile,1,21,33,14,14,0.0
Car Engine,Heavy Load,2,44,55,39,37,8.187999999999999
Safe Box,Heavy Load,2,12,56,26,77,9.8888
TV Screen,Fragile,1,21,55,25,8,0.0
Tools,Common,0,50,38,59,9,1.3
Safe Box,Heavy Load,2,18,50,14,41,7.82
Laboratory Beaker,Fragile,1,51,48,29,1,0.0
Clothes,Common,0,54,42,55,3,1.0872
Tools,Common,0,55,10,16,4,0.45999999999999996
Antique Lamp,Fragile,1,42,27,33,3,0.0
Steel Beam,Heavy Load,2,52,18,55,78,10.0
Glass Vase,Fragile,1,36,51,56,3,0.0
Anvil,Heavy Load,2,55,29,44,46,8.398
Antique Lamp,Fragile,1,35,43,39,8,0.0
Paper Ream,Common,0,14,22,55,5,0.4232
Laboratory Beaker,Fragile,1,19,56,31,7,0.0
Industrial Motor,Heavy Load,2,12,55,38,46,8.024
Tools,Common,0,33,22,36,11,0.9503999999999999
Antique Lamp,Fragile,1,16,31,25,10,0.0
Industrial Motor,Heavy Load,2,33,51,55,56,9.033199999999999
Wine Bottles,Fragile,1,29,53,17,9,0.0
Car Engine,Heavy Load,2,27,18,42,71,9.454400000000001
Clothes,Common,0,40,30,12,11,1.1400000000000001
Shoes,Common,0,16,42,45,4,0.5088
Clothes,Common,0,24,28,32,15,1.1688
Tools,Common,0,30,38,31,5,0.756
Anvil,Heavy Load,2,32,18,34,46,7.990399999999999
Tools,Common,0,40,21,52,20,1.536
TV Screen,Fragile,1,29,19,32,6,0.0
TV Screen,Fragile,1,28,56,10,14,0.0
Industrial Motor,Heavy Load,2,51,23,39,33,7.4492
Mirror,Fragile,1,17,51,15,2,0.0
Glass Vase,Fragile,1,30,50,18,2,0.0
Concrete Block,Heavy Load,2,54,31,25,57,9.089599999999999
Tools,Common,0,33,56,13,17,1.7591999999999999
Antique Lamp,Fragile,1,23,42,35,6,0.0
Generator,Heavy Load,2,43,14,19,50,8.2408
Industrial Motor,Heavy Load,2,34,14,28,67,9.2104
Glass Vase,Fragile,1,57,17,16,4,0.0
Industrial Motor,Heavy Load,2,23,54,55,75,9.9968
Wine Bottles,Fragile,1,22,26,55,11,0.0
Ceramic Plates,Fragile,1,17,53,24,1,0.0
Industrial Motor,Heavy Load,2,31,36,10,45,8.1464
Books,Common,0,45,53,23,12,1.6740000000000002
Concrete Block,Heavy Load,2,55,12,58,77,9.884
Clothes,Common,0,27,12,35,21,1.3896000000000002
TV Screen,Fragile,1,31,57,48,5,0.0
Concrete Block,Heavy Load,2,59,15,30,62,9.074
Anvil,Heavy Load,2,20,58,48,58,8.943999999999999
Monitor,Fragile,1,36,17,44,2,0.0
Mirror,Fragile,1,48,38,54,8,0.0
Gym Weights,Heavy Load,2,30,59,42,59,9.248
TV Screen,Fragile,1,45,30,36,9,0.0
Canned Food,Common,0,46,23,26,12,1.1431999999999998
Steel Beam,Heavy Load,2,35,16,12,75,9.724
Shoes,Common,0,17,50,16,20,1.54
Concrete Block,Heavy Load,2,55,42,20,35,8.024000000000001
Anvil,Heavy Load,2,50,27,18,70,9.74
Tools,Common,0,29,11,59,22,1.4476
Wine Bottles,Fragile,1,33,14,17,8,0.0
Tools,Common,0,45,11,41,5,0.49800000000000005
Steel Beam,Heavy Load,2,21,26,24,71,9.478399999999999
Paper Ream,Common,0,20,15,24,8,0.6
Mirror,Fragile,1,35,17,31,9,0.0
Paper Ream,Common,0,35,29,18,16,1.366
Cushions,Common,0,34,20,59,13,1.052
Generator,Heavy Load,2,53,34,17,44,8.360800000000001
Antique Lamp,Fragile,1,54,43,54,13,0.0
Generator,Heavy Load,2,40,30,56,43,8.059999999999999
Car Engine,Heavy Load,2,46,43,13,51,8.8512
Canned Food,Common,0,57,21,30,8,0.9588000000000001
TV Screen,Fragile,1,49,55,52,4,0.0
Antique Lamp,Fragile,1,47,47,56,1,0.0
Car Engine,Heavy Load,2,53,37,59,37,8.0044
Steel Beam,Heavy Load,2,10,48,55,35,7.292
Anvil,Heavy Load,2,48,41,13,37,8.007200000000001
Laboratory Beaker,Fragile,1,42,59,44,5,0.0
Canned Food,Common,0,52,13,30,4,0.5104
TV Screen,Fragile,1,24,45,58,4,0.0
Books,Common,0,52,36,32,3,0.9288000000000001
Safe Box,Heavy Load,2,55,46,18,44,8.652
Glass Vase,Fragile,1,19,19,43,10,0.0
Canned Food,Common,0,11,20,29,29,1.8279999999999998
Steel Beam,Heavy Load,2,28,31,31,40,7.747200000000001
Ceramic Plates,Fragile,1,28,47,45,14,0.0
Glass Vase,Fragile,1,32,38,11,10,0.0
Car Engine,Heavy Load,2,30,17,52,60,8.803999999999998
Concrete Block,Heavy Load,2,48,47,22,37,8.122399999999999
Shoes,Common,0,14,47,22,13,1.0432000000000001
Car Engine,Heavy Load,2,56,14,47,76,9.8736
Gym Weights,Heavy Load,2,16,34,22,75,9.717600000000001
Steel Beam,Heavy Load,2,29,51,20,32,7.5116
Industrial Motor,Heavy Load,2,52,22,11,50,8.4576
Monitor,Fragile,1,55,50,12,7,0.0
Generator,Heavy Load,2,48,24,39,36,7.6208
Industrial Motor,Heavy Load,2,43,51,39,74,10.0
Safe Box,Heavy Load,2,35,34,18,77,10.0
Ceramic Plates,Fragile,1,41,16,16,8,0.0
Mirror,Fragile,1,44,38,21,2,0.0
Concrete Block,Heavy Load,2,35,41,32,65,9.474
Laboratory Beaker,Fragile,1,12,17,52,5,0.0
Monitor,Fragile,1,49,47,50,3,0.0
Gym Weights,Heavy Load,2,13,48,40,69,9.3896
Safe Box,Heavy Load,2,31,47,54,48,8.4628
Gym Weights,Heavy Load,2,56,58,34,79,10.0
Anvil,Heavy Load,2,23,21,50,35,7.293200000000001
Monitor,Fragile,1,44,32,56,1,0.0
Generator,Heavy Load,2,50,54,42,71,10.0
Cushions,Common,0,24,18,31,3,0.3528
Tools,Common,0,25,12,36,28,1.8
Wine Bottles,Fragile,1,12,27,30,12,0.0
TV Screen,Fragile,1,22,58,42,9,0.0
Books,Common,0,44,35,45,27,2.2359999999999998
Monitor,Fragile,1,53,52,15,12,0.0
Canned Food,Common,0,46,39,14,18,1.7975999999999999
Wine Bottles,Fragile,1,43,48,55,1,0.0
Ceramic Plates,Fragile,1,58,27,21,11,0.0
Books,Common,0,12,26,52,6,0.4848
Anvil,Heavy Load,2,22,58,40,51,8.570400000000001
Monitor,Fragile,1,12,12,23,8,0.0
Monitor,Fragile,1,41,29,18,12,0.0
TV Screen,Fragile,1,53,37,52,1,0.0
Laboratory Beaker,Fragile,1,24,10,30,9,0.0
Steel Beam,Heavy Load,2,27,33,32,33,7.3364
Shoes,Common,0,21,58,17,4,0.7272000000000001
Mirror,Fragile,1,41,13,42,3,0.0
Generator,Heavy Load,2,28,15,34,54,8.408
Monitor,Fragile,1,39,55,50,4,0.0
Anvil,Heavy Load,2,10,39,15,66,9.116
Antique Lamp,Fragile,1,12,17,13,12,0.0
Antique Lamp,Fragile,1,57,15,42,5,0.0
Anvil,Heavy Load,2,30,29,33,43,7.928
Steel Beam,Heavy Load,2,21,40,21,55,8.636
Canned Food,Common,0,59,17,31,8,0.8812
Anvil,Heavy Load,2,20,14,17,31,6.9719999999999995
Anvil,Heavy Load,2,39,36,22,31,7.4216
Industrial Motor,Heavy Load,2,22,27,37,79,9.977599999999999
Concrete Block,Heavy Load,2,15,20,31,52,8.24
Monitor,Fragile,1,10,29,26,3,0.0
Wine Bottles,Fragile,1,16,56,30,3,0.0
Tools,Common,0,56,21,23,20,1.6704
Ceramic Plates,Fragile,1,40,44,24,11,0.0
Steel Beam,Heavy Load,2,56,22,37,50,8.492799999999999
Shoes,Common,0,10,52,26,28,1.8880000000000003
TV Screen,Fragile,1,43,21,54,8,0.0
Monitor,Fragile,1,41,31,28,9,0.0
Ceramic Plates,Fragile,1,33,25,59,13,0.0
Industrial Motor,Heavy Load,2,35,18,20,41,7.712000000000001
Steel Beam,Heavy Load,2,15,12,15,75,9.572
Monitor,Fragile,1,14,59,23,3,0.0
Mirror,Fragile,1,53,26,30,14,0.0
Shoes,Common,0,54,37,17,10,1.3992
Steel Beam,Heavy Load,2,42,35,15,53,8.768
Ceramic Plates,Fragile,1,39,19,43,5,0.0
Cushions,Common,0,26,10,21,11,0.764
Gym Weights,Heavy Load,2,36,41,43,66,9.5504
Paper Ream,Common,0,46,27,45,13,1.2768000000000002
Clothes,Common,0,28,29,59,2,0.4448
Antique Lamp,Fragile,1,19,37,47,14,0.0
Antique Lamp,Fragile,1,17,58,24,2,0.0
Plastic Toys,Common,0,45,15,31,22,1.5899999999999999
Monitor,Fragile,1,45,30,17,13,0.0
Mirror,Fragile,1,40,47,44,11,0.0
Shoes,Common,0,54,25,11,10,1.1400000000000001
Wine Bottles,Fragile,1,25,55,57,2,0.0
Safe Box,Heavy Load,2,38,39,47,54,8.8328
Industrial Motor,Heavy Load,2,24,45,58,71,9.692
Safe Box,Heavy Load,2,13,49,24,45,7.9548000000000005
Car Engine,Heavy Load,2,50,47,35,36,8.1
Clothes,Common,0,13,22,57,5,0.4144
Cushions,Common,0,58,29,48,26,2.2328
Safe Box,Heavy Load,2,46,40,13,58,9.216
Glass Vase,Fragile,1,23,50,26,10,0.0
Clothes,Common,0,31,58,11,9,1.2591999999999999
Car Engine,Heavy Load,2,57,45,50,79,10.0
Shoes,Common,0,24,14,20,22,1.4544
Cushions,Common,0,33,25,34,8,0.8099999999999999
Car Engine,Heavy Load,2,55,27,54,43,8.174000000000001
Safe Box,Heavy Load,2,35,14,41,52,8.315999999999999
Shoes,Common,0,35,37,59,2,0.638
Glass Vase,Fragile,1,20,59,19,6,0.0
Industrial Motor,Heavy Load,2,20,45,24,60,8.959999999999999
Industrial Motor,Heavy Load,2,33,25,11,44,7.970000000000001
Cushions,Common,0,41,40,44,15,1.5559999999999998
TV Screen,Fragile,1,42,52,35,11,0.0
Paper Ream,Common,0,35,38,47,22,1.8519999999999999
Clothes,Common,0,42,21,47,22,1.6728
Antique Lamp,Fragile,1,45,56,51,14,0.0
Cushions,Common,0,23,16,47,14,0.9872
Ceramic Plates,Fragile,1,57,56,43,3,0.0
Plastic Toys,Common,0,55,32,55,24,2.1439999999999997
Concrete Block,Heavy Load,2,23,34,54,30,7.1128
Glass Vase,Fragile,1,25,17,26,12,0.0
Car Engine,Heavy Load,2,30,49,38,55,8.888
Shoes,Common,0,26,37,51,26,1.9448
Steel Beam,Heavy Load,2,45,21,32,35,7.478
Clothes,Common,0,15,35,56,11,0.8699999999999999
Car Engine,Heavy Load,2,46,50,29,77,10.0
Industrial Motor,Heavy Load,2,26,47,46,73,9.868799999999998
Glass Vase,Fragile,1,17,18,11,5,0.0
Clothes,Common,0,37,28,30,7,0.8344000000000001
Books,Common,0,25,11,50,17,1.13
Books,Common,0,18,34,58,22,1.5648
Safe Box,Heavy Load,2,21,33,27,57,8.697199999999999
Plastic Toys,Common,0,28,18,45,18,1.2815999999999999
Steel Beam,Heavy Load,2,40,12,36,69,9.331999999999999
Mirror,Fragile,1,24,34,11,2,0.0
Plastic Toys,Common,0,12,11,48,20,1.2528000000000001
Steel Beam,Heavy Load,2,59,25,24,78,10.0
Steel Beam,Heavy Load,2,49,21,26,36,7.571599999999999
Generator,Heavy Load,2,20,26,29,78,9.888
Paper Ream,Common,0,16,20,36,17,1.1480000000000001
Generator,Heavy Load,2,53,17,42,69,9.500399999999999
Gym Weights,Heavy Load,2,35,32,27,53,8.628
Monitor,Fragile,1,14,27,47,13,0.0
Gym Weights,Heavy Load,2,57,30,44,32,7.603999999999999
Glass Vase,Fragile,1,13,54,10,12,0.0
Steel Beam,Heavy Load,2,58,37,14,60,9.458400000000001
Plastic Toys,Common,0,24,32,25,21,1.5672000000000001
Gym Weights,Heavy Load,2,32,18,56,73,9.6104
Canned Food,Common,0,21,31,35,2,0.3804
TV Screen,Fragile,1,38,15,53,12,0.0
Books,Common,0,10,25,44,12,0.82
Paper Ream,Common,0,30,26,31,7,0.732
Steel Beam,Heavy Load,2,52,26,53,46,8.300799999999999
Concrete Block,Heavy Load,2,24,27,46,36,7.419200000000001
Wine Bottles,Fragile,1,47,55,53,11,0.0
Books,Common,0,38,47,57,17,1.7344000000000002
Laboratory Beaker,Fragile,1,35,58,45,5,0.0
Shoes,Common,0,13,56,16,18,1.3712
Generator,Heavy Load,2,32,36,53,64,9.300799999999999
Ceramic Plates,Fragile,1,50,33,23,4,0.0
Books,Common,0,40,24,13,15,1.284
Laboratory Beaker,Fragile,1,29,32,37,3,0.0
Car Engine,Heavy Load,2,55,18,45,44,8.036
Safe Box,Heavy Load,2,28,41,54,62,9.1792
Antique Lamp,Fragile,1,31,21,19,3,0.0
Books,Common,0,26,46,54,11,1.1384
Antique Lamp,Fragile,1,58,34,51,4,0.0
Paper Ream,Common,0,22,38,12,18,1.4143999999999999
Concrete Block,Heavy Load,2,53,43,10,32,7.8316
Safe Box,Heavy Load,2,11,17,25,41,7.5348
Concrete Block,Heavy Load,2,37,48,46,52,8.830400000000001
Canned Food,Common,0,42,30,44,27,2.1239999999999997
Gym Weights,Heavy Load,2,27,30,25,65,9.224
Steel Beam,Heavy Load,2,11,50,49,74,9.66
Ceramic Plates,Fragile,1,39,33,21,9,0.0
Cushions,Common,0,47,34,45,28,2.3192
TV Screen,Fragile,1,10,44,38,14,0.0
Antique Lamp,Fragile,1,42,18,42,2,0.0
Anvil,Heavy Load,2,17,57,25,45,8.0876
Shoes,Common,0,35,42,36,8,1.068
Gym Weights,Heavy Load,2,46,39,54,64,9.557599999999999
Tools,Common,0,16,12,54,16,1.0368
Mirror,Fragile,1,19,17,50,6,0.0
Shoes,Common,0,30,55,22,8,1.1400000000000001
Gym Weights,Heavy Load,2,29,57,21,79,10.0
Paper Ream,Common,0,38,19,48,21,1.5488
Wine Bottles,Fragile,1,38,19,13,1,0.0
Plastic Toys,Common,0,21,43,52,24,1.8012000000000001
Laboratory Beaker,Fragile,1,42,32,47,10,0.0
Safe Box,Heavy Load,2,52,41,18,46,8.6128
Gym Weights,Heavy Load,2,47,40,13,36,7.912000000000001
Books,Common,0,56,41,23,8,1.3984
Generator,Heavy Load,2,35,50,10,50,8.7
Antique Lamp,Fragile,1,39,33,48,2,0.0
Antique Lamp,Fragile,1,30,55,30,7,0.0
Canned Food,Common,0,36,16,49,11,0.8904
Canned Food,Common,0,43,36,37,27,2.2392
Cushions,Common,0,13,54,24,17,1.3008
Ceramic Plates,Fragile,1,26,15,40,14,0.0
Glass Vase,Fragile,1,27,35,51,8,0.0
Gym Weights,Heavy Load,2,38,20,57,55,8.604
Glass Vase,Fragile,1,38,56,27,13,0.0
Books,Common,0,51,10,58,25,1.704
Wine Bottles,Fragile,1,47,15,45,4,0.0
Clothes,Common,0,55,16,25,10,0.952
Clothes,Common,0,55,36,56,27,2.412
Anvil,Heavy Load,2,21,45,55,40,7.7780000000000005
Car Engine,Heavy Load,2,54,58,59,38,8.5328
Books,Common,0,50,54,22,27,2.7
Gym Weights,Heavy Load,2,45,59,42,58,9.542
Plastic Toys,Common,0,39,16,14,6,0.6096
Steel Beam,Heavy Load,2,43,20,37,66,9.303999999999998
Anvil,Heavy Load,2,43,20,53,74,9.784
Clothes,Common,0,22,51,36,21,1.7088
Car Engine,Heavy Load,2,39,53,16,51,8.8868
Safe Box,Heavy Load,2,52,31,20,51,8.7048
Canned Food,Common,0,20,25,23,8,0.6799999999999999
Generator,Heavy Load,2,23,33,37,74,9.7436
TV Screen,Fragile,1,21,59,13,3,0.0
Anvil,Heavy Load,2,37,33,43,73,9.8684
Clothes,Common,0,25,54,17,12,1.26
Anvil,Heavy Load,2,56,19,43,48,8.3056
Clothes,Common,0,29,36,47,3,0.5976
Tools,Common,0,18,40,19,22,1.6079999999999999
Antique Lamp,Fragile,1,31,32,33,3,0.0
Safe Box,Heavy Load,2,28,16,55,75,9.6792
Antique Lamp,Fragile,1,10,17,51,9,0.0
Shoes,Common,0,25,33,47,26,1.89
Gym Weights,Heavy Load,2,40,30,38,64,9.32
Car Engine,Heavy Load,2,19,23,49,70,9.374799999999999
Antique Lamp,Fragile,1,27,31,38,14,0.0
Steel Beam,Heavy Load,2,28,12,14,31,6.994400000000001
Wine Bottles,Fragile,1,24,18,56,11,0.0
Monitor,Fragile,1,58,14,40,9,0.0
Plastic Toys,Common,0,46,39,41,12,1.4376000000000002
Books,Common,0,41,27,34,6,0.8027999999999998
Safe Box,Heavy Load,2,15,19,30,44,7.754
Canned Food,Common,0,33,36,28,13,1.2551999999999999
Tools,Common,0,18,50,50,18,1.44
Paper Ream,Common,0,57,58,15,23,2.7024
Antique Lamp,Fragile,1,18,28,20,8,0.0
TV Screen,Fragile,1,37,25,16,5,0.0
Ceramic Plates,Fragile,1,54,26,28,3,0.0
Safe Box,Heavy Load,2,59,48,41,36,8.2928
TV Screen,Fragile,1,13,51,25,10,0.0
Shoes,Common,0,26,14,51,6,0.5056
Gym Weights,Heavy Load,2,13,35,35,52,8.302
Steel Beam,Heavy Load,2,44,26,46,58,8.9376
Glass Vase,Fragile,1,13,31,16,10,0.0
